question_number,question,answer
1,What is a confined space?,"A confined space has; Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Examples may include sewers, pits, crawl spaces, attics, boilers, and many more. A confined space has; Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Examples may include sewers, pits, crawl spaces, attics, boilers, and many more."
2,What is a permit required confined space (permit space)?,"A permit space is a confined space that may have a hazardous atmosphere, engulfment hazard, or other serious hazard, such as exposed wiring, that can interfere with a worker's ability to leave the space without assistance A permit space is a confined space that may have a hazardous atmosphere, engulfment hazard, or other serious hazard, such as exposed wiring, that can interfere with a worker's ability to leave the space without assistance"
3,Can anyone work in a permit space?,"Only workers who have been assigned and trained to work in a permit space may do so. Additionally, before workers can enter a permit space, the employer has to write a permit that specifies what safety measures must to be taken and who is allowed to go in. Only workers who have been assigned and trained to work in a permit space may do so. Additionally, before workers can enter a permit space, the employer has to write a permit that specifies what safety measures must to be taken and who is allowed to go in."
4,How do I know whether to follow the general industry or construction confined space rule?,If you are doing construction work - such as building a new structure or upgrading an old one - then you must follow the construction confined space rule. If you are doing construction work - such as building a new structure or upgrading an old one - then you must follow the construction confined space rule.
5,I've been following the general industry rule. What is new or different about the construction rule?,"There are 5 key differences from the construction rule, and several areas where OSHA has clarified existing requirements. The five new requirements include: More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. In addition, OSHA has added provisions to the new rule that clarifies existing requirements in the General Industry standard. These include: Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Finally, several terms have been added to the definitions for the construction rule, such as ""entry employer"" to describe the employer who directs workers to enter a space, and ""entry rescue"", added to clarify the differences in the types of rescue employers can use. There are 5 key differences from the construction rule, and several areas where OSHA has clarified existing requirements. The five new requirements include: More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. In addition, OSHA has added provisions to the new rule that clarifies existing requirements in the General Industry standard. These include: Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Finally, several terms have been added to the definitions for the construction rule, such as ""entry employer"" to describe the employer who directs workers to enter a space, and ""entry rescue"", added to clarify the differences in the types of rescue employers can use."
6,Why did OSHA believe that the former standard needed to be changed?,Previously the only requirement for confined spaces in construction was training. OSHA concluded this was inadequate as injuries and fatalities continued to occur. Previously the only requirement for confined spaces in construction was training. OSHA concluded this was inadequate as injuries and fatalities continued to occur.
7,How does the new final rule differ from the rules that previously applied to construction work performed in confined spaces?,"The rule requires employers to determine what kinds of spaces their workers are in, what hazards could be there, how those hazards should be made safe, what training workers should receive, and how to rescue those workers if anything goes wrong. The rule requires employers to determine what kinds of spaces their workers are in, what hazards could be there, how those hazards should be made safe, what training workers should receive, and how to rescue those workers if anything goes wrong."
8,When does the new rule go into effect?,"August 3, 2015 August 3, 2015"
9,Do employers have to have a written confined space program?,"Yes, if workers will enter permit spaces. Yes, if workers will enter permit spaces."
10,Where can I find the final rule for Confined Spaces in Construction?,"The confined spaces standard can be found at www.osha.gov under 29 CFR Part 1926 Subpart AA - Confined Spaces in Construction. An electronic copy of the regulatory text can be accessed from OSHA's construction webpage at final rule . The preamble to the final rule can also be found on OSHA's website under ""Federal Register Notices"" for May 4, 2015 or on the Federal Register website ( https://www.federalregister.gov/ ) under Vol. 80, page 25365 . The confined spaces standard can be found at www.osha.gov under 29 CFR Part 1926 Subpart AA - Confined Spaces in Construction. An electronic copy of the regulatory text can be accessed from OSHA's construction webpage at final rule . The preamble to the final rule can also be found on OSHA's website under ""Federal Register Notices"" for May 4, 2015 or on the Federal Register website ( https://www.federalregister.gov/ ) under Vol. 80, page 25365 ."
11,Where can I get a hard copy of the final rule?,"The final rule is available in 29 CFR Part 1926, which can be ordered from the Government Printing Office at 29 CFR Part 1926 . The final rule is available in 29 CFR Part 1926, which can be ordered from the Government Printing Office at 29 CFR Part 1926 ."
12,How can I contact OSHA if I have questions about the final rule?,"For compliance assistance regarding application of the final rule contact: Directorate of Construction, Room N3468, OSHA,"
13,Who is affected by Subpart AA?,All construction employers whose workers may be exposed to confined space hazards. All construction employers whose workers may be exposed to confined space hazards.
14,"Do I need to do anything if there are permit spaces at the worksite, but my employees will not need to enter the permit space?","Yes, you must take effective steps to prevent your employees from entering the space. Yes, you must take effective steps to prevent your employees from entering the space."
15,If I hire a contractor (or subcontractor) to do work in a confined space do I have any responsibilities?,"Yes, Controlling contractors and host employers must discuss spaces on the site and their hazards with entry employers and each other before and after entry ( see question 16 , below). Yes, Controlling contractors and host employers must discuss spaces on the site and their hazards with entry employers and each other before and after entry ( see question 16 , below)."
16,"Tell me more about the conversations between host employers, controlling contractors, and entry employers.","The above diagram shows the information flow and coordination between these employers The rule makes the controlling contractor, rather than the host employer, the primary point of contact for information about permit spaces at the work site. The host employer must provide information it has about permit spaces at the work site to the controlling contractor, who then passes it on to the employers whose employees will enter the spaces (entry employers). Likewise, entry employers must give the controlling contractor information about their entry program and hazards they encounter in the space, and the controlling contractor passes that information on to other entry employers and back to the host. As mentioned above, the controlling contractor is also responsible for making sure employers outside a space know not to create hazards in the space, and that entry employers working in a space at the same time do not create hazards for one another's workers. The above diagram shows the information flow and coordination between these employers The rule makes the controlling contractor, rather than the host employer, the primary point of contact for information about permit spaces at the work site. The host employer must provide information it has about permit spaces at the work site to the controlling contractor, who then passes it on to the employers whose employees will enter the spaces (entry employers). Likewise, entry employers must give the controlling contractor information about their entry program and hazards they encounter in the space, and the controlling contractor passes that information on to other entry employers and back to the host. As mentioned above, the controlling contractor is also responsible for making sure employers outside a space know not to create hazards in the space, and that entry employers working in a space at the same time do not create hazards for one another's workers."
